P05,P05,P05,P05,P06,P06,P06,P06,P07,P07,P07,P07,P07,P07,P07
TA21,TA22,TA23,TA24,TA41,TA42,TA43,TA44,TA61,TA62,TA63,TA64,TA65,TA66,TA67
T2001,T2021,T2041,T2061,T2201,T2221,T3001,T3800,T4001,T4201,T4006,T4602,T4002,T6001,T4801
T2001.001,T2021.001,T2041.001,T2061.001,T2201.001,T2221.001,T3001.001,T3801,T4001.001,T4201.001,T4006.001,T4602.001,T4002.001,T6001.001,T4801.001
T2001.002,T2021.002,T2041.002,T2062,T2201.002,T2221.002,T3001.002,T3801.001,T4001.002,T4201.002,T4006.002,T4602.002,T4002.002,T6001.002,
T2001.003,T2021.003,T2041.003,T2062.001,T2201.003,T2221.003,T3001.003,T3801.002,T4001.003,T4201.003,T4006.003,T4602.003,T4002.003,T6001.003,
T2002,T2022,T2041.004,,T2201.004,T2222,T3002,T3802,T4001.004,T4202,T4006.004,T4602.004,T4002.004,,
T2002.001,T2023,T2041.005,,T2201.005,T2222.001,T3002.001,T3802.001,T4001.005,T4202.001,T4006.005,T4603,T4002.005,,
T2002.002,T2023.001,T2041.006,,T2201.006,T2222.002,T3002.002,T3802.002,T4001.006,T4202.002,T4006.006,T4603.001,T4002.006,,
T2002.003,T2023.002,T2041.007,,T2202,T2223,T3002.003,T3802.003,T4001.007,T4202.003,T4006.007,T4603.002,T4002.007,,
T2002.004,T2023.003,T2042,,T2202.001,T2223.001,T3004,,T4001.008,T4202.004,T4006.008,T4603.003,T4002.008,,
T2002.005,T2023.004,T2042.001,,T2202.002,T2223.002,T3004.001,,T4001.009,T4202.005,T4401,T4603.004,T4002.009,,
T2002.006,T2023.005,T2042.002,,T2202.003,T2223.003,T3004.002,,T4001.010,T4202.006,T4401.001,T4603.005,T4002.010,,
T2002.007,T2023.006,T2042.003,,T2203,T2223.004,T3005,,T4008,T4202.007,T4401.002,T4603.006,T4002.011,,
T2003,T2024,T2042.004,,T2203.001,T2223.005,T3005.001,,T4008.001,T4203,T4401.003,T4603.007,T4003,,
T2003.001,T2024.001,T2042.005,,T2203.002,T2224,,,T4008.002,T4203.001,T4401.004,T4603.008,T4003.001,,
T2003.002,T2024.002,T2042.006,,T2203.003,T2224.001,,,T4009,T4203.002,T4401.005,T4603.009,T4003.002,,
T2003.003,T2024.003,T2042.007,,T2203.004,T2224.002,,,T4009.001,T4203.003,T4401.006,T4603.010,T4003.003,,
T2003.004,T2024.004,T2042.008,,T2203.005,T2224.003,,,T4009.002,T4203.004,T4401.007,T4604,T4003.004,,
T2003.005,T2025,T2042.009,,T2203.006,T2224.004,,,T4009.003,T4203.005,T4402,T4604.001,T4003.005,,
T2003.006,T2025.001,T2042.010,,T2203.007,T2225,,,T4009.004,T4407,T4402.001,T4604.002,T4003.006,,
T2003.007,T2025.002,T2042.011,,T2203.008,T2225.001,,,T4009.005,T4407.001,T4402.002,T4604.003,T4003.007,,
T2003.008,T2025.003,T2042.013,,T2203.009,T2225.002,,,,T4407.002,T4402.003,T4604.004,T4003.008,,
T2003.009,T2025.004,T2042.014,,T2204,T2225.003,,,,T4407.003,T4402.004,T4604.005,T4003.009,,
T2004,T2025.005,T2042.015,,T2204.001,T2225.004,,,,T4407.004,T4402.005,T4604.006,T4003.010,,
T2004.001,T2025.006,T2042.016,,T2204.002,T2225.005,,,,T4407.005,T4402.006,T4604.007,T4003.011,,
T2004.002,T2026,T2042.017,,T2205,,,,,,T4402.007,T4604.008,T4003.012,,
T2004.003,T2026.001,T2042.018,,T2206,,,,,,T4402.008,T4604.009,T4003.013,,
T2004.004,T2026.002,T2042.019,,T2206.001,,,,,,T4402.009,,T4005,,
T2004.005,T2026.003,T2042.020,,T2206.002,,,,,,T4402.010,,T4005.001,,
T2004.006,T2026.004,T2043,,T2206.003,,,,,,T4403,,T4005.002,,
T2004.007,T2026.005,T2043.001,,,,,,,,T4403.001,,T4005.003,,
T2004.008,T2026.006,T2043.002,,,,,,,,T4403.002,,T4005.004,,
T2004.009,T2026.007,T2043.003,,,,,,,,T4403.003,,T4007,,
T2004.010,T2026.008,T2043.004,,,,,,,,T4403.004,,T4007.001,,
T2005,T2026.009,T2043.005,,,,,,,,T4404,,T4007.002,,
T2005.001,T2027,T2043.006,,,,,,,,T4404.001,,T4601,,
T2005.002,T2027.001,T2043.007,,,,,,,,T4404.002,,T4601.001,,
T2005.003,T2027.002,T2043.008,,,,,,,,T4404.003,,T4601.002,,
T2005.004,T2027.003,T2043.009,,,,,,,,T4404.004,,,,
T2005.005,T2027.004,T2043.010,,,,,,,,T4405,,,,
T2005.006,T2027.005,T2043.011,,,,,,,,T4405.001,,,,
T2005.007,,T2044,,,,,,,,T4406,,,,
T2005.008,,T2044.001,,,,,,,,T4406.001,,,,
T2005.009,,T2044.002,,,,,,,,T4406.002,,,,
T2005.010,,T2046,,,,,,,,T4406.003,,,,
T2006,,T2046.001,,,,,,,,T4406.004,,,,
,,T2046.002,,,,,,,,T4406.005,,,,
,,T2046.003,,,,,,,,T4406.006,,,,
,,T2046.004,,,,,,,,T4406.007,,,,
,,T2046.005,,,,,,,,T4406.008,,,,
,,T2046.006,,,,,,,,T4406.009,,,,
,,T2046.007,,,,,,,,,,,,
,,T2047,,,,,,,,,,,,
,,T2047.001,,,,,,,,,,,,
,,T2047.002,,,,,,,,,,,,
,,T2045,,,,,,,,,,,,
,,T2045.001,,,,,,,,,,,,
,,T2045.002,,,,,,,,,,,,
